week_date,unit,row,col,artist_type,local_pct
2026-03-05,65,7,5,International,30
2026-03-05,66,7,6,International,30
2026-03-05,67,7,7,International,30
2026-03-05,68,7,8,International,30
2026-03-05,69,7,9,International,30
2026-03-05,70,7,10,International,30
2026-03-05,71,8,1,International,30
2026-03-05,72,8,2,International,30
2026-03-05,73,8,3,International,30
2026-03-05,74,8,4,International,30
2026-03-05,75,8,5,International,30
2026-03-05,76,8,6,International,30
2026-03-05,77,8,7,International,30
2026-03-05,78,8,8,International,30
2026-03-05,79,8,9,International,30
2026-03-05,80,8,10,International,30
2026-03-05,81,9,1,International,30
2026-03-05,82,9,2,International,30
2026-03-05,83,9,3,International,30
2026-03-05,84,9,4,International,30
2026-03-05,85,9,5,International,30
2026-03-05,86,9,6,International,30
2026-03-05,87,9,7,International,30
2026-03-05,88,9,8,International,30
2026-03-05,89,9,9,International,30
2026-03-05,90,9,10,International,30
2026-03-05,91,10,1,International,30
2026-03-05,92,10,2,International,30
2026-03-05,93,10,3,International,30
2026-03-05,94,10,4,International,30
2026-03-05,95,10,5,International,30
2026-03-05,96,10,6,International,30
2026-03-05,97,10,7,International,30
2026-03-05,98,10,8,International,30
2026-03-05,99,10,9,International,30
2026-03-05,100,10,10,International,30
2026-03-12,1,1,1,Local,40
2026-03-12,2,1,2,Local,40
2026-03-12,3,1,3,Local,40
2026-03-12,4,1,4,Local,40
2026-03-12,5,1,5,Local,40
2026-03-12,6,1,6,Local,40
2026-03-12,7,1,7,Local,40
2026-03-12,8,1,8,Local,40
2026-03-12,9,1,9,Local,40
2026-03-12,10,1,10,Local,40
2026-03-12,11,2,1,Local,40
2026-03-12,12,2,2,Local,40
2026-03-12,13,2,3,Local,40
2026-03-12,14,2,4,Local,40
2026-03-12,15,2,5,Local,40
2026-03-12,16,2,6,Local,40
2026-03-12,17,2,7,Local,40
2026-03-12,18,2,8,Local,40
2026-03-12,19,2,9,Local,40
2026-03-12,20,2,10,Local,40
2026-03-12,21,3,1,Local,40
2026-03-12,22,3,2,Local,40
2026-03-12,23,3,3,Local,40
2026-03-12,24,3,4,Local,40
2026-03-12,25,3,5,Local,40
2026-03-12,26,3,6,Local,40
2026-03-12,27,3,7,Local,40
2026-03-12,28,3,8,Local,40
